"","MG","Rod","AC","BC","Cone","HC","RGC"
"AP006222.2",0.0577319587628866,0.0836174412345236,0.19790675547098,0.13517761710154,0.142276422764228,0.427230046948357,0.484536082474227
"RP4-669L17.10",0.14020618556701,0.121209402476225,0.193149381541389,0.128890286073562,0.278455284552846,0.0845070422535211,0.525773195876289
"RP5-857K21.4",0.0164948453608247,0.0349901309886955,0.0922930542340628,0.0474693492612386,0.0569105691056911,0.0821596244131455,0.0927835051546392
"RP11-206L10.9",0.0865979381443299,0.204019379149471,0.257849666983825,0.245520276642565,0.317073170731707,0.258215962441315,0.195876288659794
"SAMD11",0.0247422680412371,0.678180513188588,0.093244529019981,0.0587865451116001,0.0284552845528455,0.15962441314554,0.0618556701030928
"NOC2L",0.0639175257731959,0.115557150547282,0.216936251189343,0.118516189877397,0.160569105691057,0.185446009389671,0.371134020618557
"HES4",0.391752577319588,0.00475506908307913,0.415794481446242,0.0103740961961647,0.0101626016260163,0.00469483568075117,1.41237113402062
"C1orf159",0.158762886597938,0.108020814642024,0.450999048525214,0.127947186419365,0.195121951219512,0.2981220657277,0.731958762886598
"SDF4",0.175257731958763,0.117530952808182,0.387250237868697,0.182646966362779,0.119918699186992,0.321596244131455,0.329896907216495
"UBE2J2",0.2,0.139153059393504,0.267364414843007,0.187991197736561,0.229674796747967,0.295774647887324,0.298969072164948
"ACAP3",0.14020618556701,0.471200430647766,0.855375832540438,0.489154353976737,0.365853658536585,0.363849765258216,1.01030927835052
"CPSF3L",0.218556701030928,0.153418266642742,0.34919124643197,0.221628418736246,0.178861788617886,0.276995305164319,0.793814432989691
"DVL1",0.043298969072165,0.0517674502063521,0.137963843958135,0.0719899402703552,0.0752032520325203,0.131455399061033,0.144329896907216
"AURKAIP1",0.0804123711340206,0.0882827920330163,0.153187440532826,0.138635649166929,0.158536585365854,0.253521126760563,0.257731958762887
"CCNL2",0.397938144329897,0.184819666247981,0.520456707897241,0.230116315624018,0.294715447154472,0.685446009389671,0.814432989690722
"MRPL20",0.160824742268041,0.147676296429212,0.248334919124643,0.198050927381327,0.193089430894309,0.316901408450704,0.268041237113402
"ATAD3B",0.065979381443299,0.066840122016867,0.150333016175071,0.0691606413077649,0.119918699186992,0.0633802816901408,0.391752577319588
"ATAD3A",0.0329896907216495,0.0327471738740355,0.0627973358705994,0.0370952530650739,0.0650406504065041,0.103286384976526,0.185567010309278
"SSU72",0.142268041237113,0.159967701417549,0.457659372026641,0.278843131090852,0.258130081300813,0.767605633802817,0.515463917525773
"RP11-345P4.9",0.022680412371134,0.0501525210837969,0.0742150333016175,0.0430682175416536,0.111788617886179,0.0633802816901408,0.103092783505155
"MIB2",0.0948453608247423,0.0785932172976853,0.164605137963844,0.086765168186105,0.178861788617886,0.169014084507042,0.360824742268041
"CDK11B",0.0680412371134021,0.0732998385070877,0.15128449096099,0.0955674316252751,0.136178861788618,0.112676056338028,0.257731958762887
"SLC35E2B",0.0824742268041237,0.22994796339494,0.273073263558516,0.104998428167243,0.371951219512195,0.178403755868545,0.43298969072165
"CDK11A",0.0515463917525773,0.0383994258029786,0.055185537583254,0.0452687834014461,0.0630081300813008,0.0704225352112676,0.175257731958763
"SLC35E2",0.0474226804123711,0.0806567378431724,0.195052331113226,0.0713612071675574,0.136178861788618,0.18075117370892,0.278350515463918
"NADK",0.0474226804123711,0.102996590705186,0.0960989533777355,0.0534423137378183,0.217479674796748,0.0892018779342723,0.164948453608247
"GNB1",0.837113402061856,8.07437645792213,2.04091341579448,0.722414335114744,0.556910569105691,1.69953051643192,3.88659793814433
"GABRD",0.00618556701030928,0.00340929481428315,0.188392007611798,0.0515561144294247,0.00813008130081301,0.356807511737089,0
"PRKCZ",0.162886597938144,0.176924457204378,0.439581351094196,0.18516189877397,0.205284552845528,0.650234741784038,1
"C1orf86",0.0597938144329897,0.0630719540642383,0.172216936251189,0.0811065702609242,0.0853658536585366,0.131455399061033,0.350515463917526
"SKI",0.187628865979381,0.0629822357796519,0.311132254995243,0.11474379126061,0.103658536585366,0.199530516431925,0.412371134020619
"MORN1",0.0969072164948454,0.256684012201687,0.138915318744053,0.104684061615844,0.615853658536585,0.119718309859155,0.402061855670103
"RER1",0.175257731958763,0.229409653687421,0.256898192197907,0.169129204652625,0.378048780487805,0.258215962441315,0.237113402061856
"PEX10",0.0556701030927835,0.053113224475148,0.0856327307326356,0.068531908204967,0.138211382113821,0.119718309859155,0.144329896907216
"PLCH2",0.0268041237113402,0.600574197021353,0.171265461465271,0.393901288902861,0.422764227642276,0.255868544600939,1.52577319587629
"PANK4",0.0268041237113402,0.0741970213529517,0.0799238820171265,0.0760767054385413,0.111788617886179,0.112676056338028,0.144329896907216
"TTC34",0.0350515463917526,0.0226987260003589,0.0399619410085633,0.0223200251493241,0.0670731707317073,0.0211267605633803,0.0206185567010309
"TPRG1L",0.0762886597938144,0.0661223757401758,0.212178877259753,0.109085193335429,0.0914634146341463,0.593896713615023,0.247422680412371
"WRAP73",0.0597938144329897,0.0555356181589808,0.093244529019981,0.0763910719899403,0.126016260162602,0.15962441314554,0.175257731958763
"RP5-1092A11.2",0.00412371134020619,0.0543692804593576,0.00380589914367269,0.00565859792518076,0.048780487804878,0.00469483568075117,0
"TP73-AS1",0.043298969072165,0.0476404091153777,0.0627973358705994,0.0465262496070418,0.0813008130081301,0.07981220657277,0.123711340206186
"LRRC47",0.065979381443299,0.0595729409653687,0.185537583254044,0.0839358692235146,0.0853658536585366,0.12206572769953,0.257731958762887
"CEP104",0.150515463917526,0.354387224116275,0.574690770694577,0.172901603269412,4.57317073170732,0.511737089201878,0.793814432989691
"DFFB",0.043298969072165,0.130898977211556,0.23977164605138,0.0785916378497328,1.17073170731707,0.223004694835681,0.278350515463918
"C1orf174",0.0494845360824742,0.0485375919612417,0.0647002854424358,0.0474693492612386,0.0914634146341463,0.12206572769953,0.175257731958763
"AJAP1",0.0103092783505155,0.00170464740714158,0.301617507136061,0.280729330399246,0.0040650406504065,0.00234741784037559,0.525773195876289
"NPHP4",0.179381443298969,0.3370715951911,0.398667935299715,0.162841873624646,0.689024390243902,0.314553990610329,0.618556701030928
"KCNAB2",0.0391752577319588,0.0979723667683474,0.745956232159848,0.141779314680918,0.101626016260163,0.117370892018779,1.22680412371134
"CHD5",0.00412371134020619,0.0449488605777858,0.509990485252141,0.0833071361207168,0.024390243902439,0.823943661971831,0.45360824742268
"RPL22",0.0721649484536083,0.528799569352234,0.225499524262607,0.201194592895316,0.904471544715447,0.288732394366197,0.587628865979381
"RNF207",0.0536082474226804,0.0497039296608649,0.0675547098001903,0.0257780572147124,0.0691056910569106,0.0469483568075117,0.34020618556701
"ICMT",0.0371134020618557,0.349183563610264,0.168411037107517,0.0798491040553285,0.558943089430894,0.347417840375587,0.237113402061856
"GPR153",0.00618556701030928,0.00583168849811592,0.333967649857279,0.00314366551398931,0,0.274647887323944,0.381443298969072
"ACOT7",0.0288659793814433,0.0372330881033555,0.471931493815414,0.252436340773342,0.467479674796748,0.657276995305164,1.7319587628866
"ESPN",0.237113402061856,0.606944195226987,0.0266412940057088,0.0150895944671487,0.971544715447154,0.0211267605633803,0.0206185567010309
"NOL9",0.127835051546392,0.0986003947604522,0.221693625118934,0.144294247092109,0.199186991869919,0.145539906103286,0.443298969072165
"ZBTB48",0.0907216494845361,0.0430647766014714,0.0675547098001903,0.0534423137378183,0.0508130081300813,0.0610328638497653,0.103092783505155
"KLHL21",0.237113402061856,0.0592140678270231,0.125594671741199,0.0524992140836215,0.0630081300813008,0.12206572769953,0.298969072164948
"PHF13",0.0309278350515464,0.0276332316526108,0.0561370123691722,0.0282929896259038,0.048780487804878,0.0868544600938967,0.0927835051546392
